NCT Number,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures;;;;;;;;;;;;
"NCT01272193,""Change in Glycosylated Haemoglobin (HbA1c), Observed change from baseline in HbA1c after 26 weeks of treatment, Week 0, Week 26"",""Mean Increment of 9-point Self Measured Plasma Glucose Profile (SMPG) at the Main Evening Meal, Observed mean increment of the 9-point self-measured plasma glucose profile (SMPG) at the main evening meal, Week 26|Rate of Treatment Emergent Adverse Events (AEs), Corresponds to rate of AEs per 100 patient years of exposure. Severity assessed by investigator. Mild: no or transient symptoms, no interference with subject's daily activities. Moderate: marked symptoms, moderate interference with subject's daily activities. Severe: considerable interference with subject's daily activities, unacceptable. Serious AE: AE that at any dose results in any of the following: death, a life-threatening experience, in-subject hospitalization/prolongation of existing hospitalisation, persistent/significant disability/incapacity/congenital anomaly/birth defect., Week 0 to Week 26 + 7 days follow up|Rate of Confirmed Hypoglycaemic Episodes, Observed rate of confirmed hypoglycaemic episodes per 100 patient years of exposure (PYE). Confirmed hypoglycaemic episodes consisted of severe hypoglycaemia as well as minor hypoglycaemic episodes. Severe hypoglycaemic episodes were defined as requiring assistance to administer carbohydrate, glucagon, or other resuscitative actions. Minor hypoglycaemic episodes were defined as able to treat her/himself and plasma glucose below 3.1 mmol/L., Week 0 to Week 26 + 7 days follow up|Rate of Nocturnal Confirmed Hypoglycaemic Episodes, Observed rate of confirmed hypoglycaemic episodes per 100 patient years of exposure (PYE). Confirmed hypoglycaemic episodes consisted of severe hypoglycaemia as well as minor hypoglycaemic episodes. Severe hypoglycaemic episodes were defined as requiring assistance to administer carbohydrate, glucagon, or other resuscitative actions. Minor hypoglycaemic episodes were defined as able to treat her/himself and plasma glucose below 3.1 mmol/L. Nocturnal hypoglycaemic episodes were defined as occurring between 00:01 and 05:59 a.m., Week 0 to Week 26 + 7 days follow up|Change in Body Weight, Observed change from baseline in body weight after 26 weeks of treatment, Week 0, Week 26"",";;;;;;;;;;;;
"NCT01230749,""Change From Baseline (Day -1) to Day 28 in Twenty-Four-Hour Weighted Average Glucose (24-Hour WAG), Difference is calculated as the change in 24-hour WAG in Least Square Mean (LSM) from baseline to Day 28 of each treatment group (pioglitazone, JNJ-41443532 250 mg, JNJ-41443532 1000 mg, and placebo). The statistical analyses shows the treatment differences (ie, each study medication group minus placebo) in the LSM change. 24-hour WAG is defined as the area under the plasma glucose concentration time curve over 0 to 24 hours, divided by 24., From baseline (Day -1) to Day 28"",""Change From Baseline to Day 28 in Fasting Plasma Glucose (FPG), Difference is calculated as the change in FPG in Least Square Mean (LSM) from baseline to Day 28 of each treatment group (pioglitazone, JNJ-41443532 250 mg, JNJ-41443532 1000 mg, and placebo). The statistical analyses shows the treatment differences (ie, each study medication group minus placebo) in the LSM change., From baseline to Day 28|Change From Baseline to Day 28 in Insulin Secretion, Difference is calculated as the change in insulin secretion in Least Square Mean (LSM) from baseline to Day 28 of each treatment group (pioglitazone, JNJ-41443532 250 mg, JNJ-41443532 1000 mg, and placebo). The statistical analyses shows the treatment differences (ie, each study medication group minus placebo) in the LSM change. Insulin secretion is measured by the absolute change in Homeostasis Model Assessment of steady state islet beta cell (HOMA-%B). HOMA-%B calculated as: (360 multiplied by Insulin \[pmol/L\]) divided by (\[Glucose {mg/dL} minus 63\] multiplied by 6.945). Higher value is better (signifies improvement relative to baseline)., From baseline to Day 28|Change From Baseline to Day 28 in Insulin Resistance, Difference is calculated as the change in insulin resistance in Least Square Mean (LSM) from baseline to Day 28 of each treatment group (pioglitazone, JNJ-41443532 250 mg, JNJ-41443532 1000 mg, and placebo). The statistical analyses shows the treatment differences (ie, each study medication group minus placebo) in the LSM change. Insuline sensitivity is measured by absolute change in Homeostasis Model Assessment of insulin resistance (HOMA-IR). Insulin sensitivity is HOMA-%S and HOMA-IR is the reciprocal of HOMA-%S. HOMA-IR calculated as: (Glucose \[mg/dL\]) multiplied by Insulin \[pmol/L\]) divided by (405 multiplied by 6.945). Lower value is better (signifies improvement relative to baseline)., From baseline to Day 28|Change From Baseline to Day 28 in Systemic Levels of Interleukin 6 (IL-6), Difference is calculated as the geometric mean change in IL-6 from baseline to Day 28 of each treatment group (JNJ-41443532 250 mg, JNJ-41443532 1000 mg, and placebo). The statistical analyses shows the treatment differences (ie, each study medication group minus placebo) in the geometric mean change. IL-6 is a systemic inflammatory markers and is an independent predictors of insulin resistance and progression to type 2 diabetes mellitus. IL-6 was not measured for pioglitazone guoup. The unit of IL-6 is picograms per milliliter (pg/mL)., From baseline to Day 28|Change From Baseline to Day 28 in Systemic Levels of Interleukin 18 (IL-18), Difference is calculated as the geometric mean change in IL-18 from baseline to Day 28 of each treatment group (JNJ-41443532 250 mg, JNJ-41443532 1000 mg, and placebo). The statistical analyses shows the treatment differences (ie, each study medication group minus placebo) in the geometric mean change. IL-18 was not measured for pioglitazone group. The unit of IL-18 is picograms per milliliter (pg/mL), From baseline to Day 28|Change From Baseline to Day 28 in Systemic Levels of C-Reactive Protein (CRP), Difference is calculated as the geometric mean change in CRP from baseline to Day 28 of each treatment group (JNJ-41443532 250 mg, JNJ-41443532 1000 mg, and placebo). The statistical analyses shows the treatment differences (ie, each study medication group minus placebo) in the geometric mean change. CRP was not measured for pioglitazone group., From baseline to Day 28|Change From Baseline to Day 29 in Body Weight, Difference is calculated as the change in body weight in Least Square Mean (LSM) from baseline to Day 29 of each treatment group (pioglitazone, JNJ-41443532 250 mg, JNJ-41443532 1000 mg, and placebo). The statistical analyses shows the treatment differences (ie, each study medication group minus placebo) in the LSM change., From baseline to Day 29"",";;;;;;;;;;;;
"NCT01915849,""Area Under the Postprandial Curve (AUC) for Rate of Appearance (Ra) of Exogenous Glucose, Glucose fluxes during a mixed meal were measured using a dual glucose tracer method and non-steady state Steele equations. The rate of appearance of meal (or exogenous) glucose in the blood (also referred to as intestinal glucose absorption or Ra meal) after a mixed meal following LIK066 administration on Days 1 and 4 was the primary PD assessment in this study.The postprandial AUC was calculated using the linear trapezoidal rule. The sample collected at 7 hours after the start of the infusion was treated as the pre-meal, 0 hour measurement for the AUC0-5 hr calculation., Day 1 and Day 4 (pre-meal, every half hour till 5 hour on Day 1 and Day 4)"",,";;;;;;;;;;;;
"NCT02916563,""Number of Successful Glucose Readings, The success criterion for the performance of the Blood Glucose Monitoring System at high altitude (approximately 10,000 feet above sea level) means that 95% of the blood glucose readings fall within 15mg/dL of the YSI reference value (for reference values less than 75 mg/dL) and within 20% (for reference values greater than or equal to 75 mg/dL)., One day"",,";;;;;;;;;;;;
"NCT00480493,""Maternal Confidence Scale, Maternal confidence in managing child with type 1 diabetes . Higher total scores (10 questions, minimum score of 0, maximum score of 50) mean a better outcome (greater maternal confidence), 12 months|Parent Concern, Parent concern in managing child with type 1 diabetes. Higher total scores (58 questions, minimum score is 58";" maximum score is 255) means more worry with managing child's diabetes care., 12 months|Worry, Parent worry in managing child's care. Higher total scores (11 questions, minimum score is 11, maximum score is 44) indicate more parental worry, 12 months"",,";;;;;;;;;;;
"NCT00467649,""The Percentage of Patients Achieving HbA1c <=7% at Week 24 With no Gain in Body Weight From Baseline and no Incidence of Severe Hypoglycemia, A severe hypoglycemia is defined as an event during which the patient required the assistance of another individual (including aid in ingestion of oral carbohydrate)";" and/or required the administration of glucagon injection, intravenous glucose, or other medical intervention., 24 Weeks"",""Percentage of Patients Achieving HbA1c <=7% at Week 24, This is a component of the primary endpoint, 24 Weeks|Percentage of Patients With no Weight Gain at Week 24, This is a component of the primary endpoint, 24 Weeks|Percentage of Patients With a Severe Hypoglycemia Adverse Event, This is a component of the primary endpoint., 24 Weeks|Change in HbA1c From Baseline at Week 24, Baseline values are presented in the Baseline Characteristics section, From Baseline to Week 24|Change in Body Weight From Baseline at Week 24, Baseline values are presented in the Baseline Characteristics section, From Baseline to Week 24|Change in Waist Circumference From Baseline at Week 24, Baseline values are presented in the Baseline Characteristics section, From Baseline to Week 24|Change in Fasting Plasma Glucose From Baseline at Week 24, Baseline values are presented in the Baseline Characteristics section, From Baseline to Week 24|Fasting Serum Lipids Change From Baseline to Week 24, Baseline, week 24|Phase 2: Change in HbA1c at Week 36, Two changes are calculated, the first by subtracting Week 36 value from the Phase 1 Baseline value (total change over 36 weeks), the second by subtracting the Week 36 value from the Phase 2 Baseline value (change from week 24 to week 36 only)., Phase 1 Baseline, Phase 2 Baseline at Week 24, Week 36|Phase 2: Change in Body Weight at Week 36, Two changes are calculated, the first by subtracting Week 36 value from the Phase 1 Baseline value (total change over 36 weeks), the second by subtracting the Week 36 value from the Phase 2 Baseline value (change from week 24 to week 36 only)., Phase 1 Baseline, Phase 2 Baseline at Week 24, Week 36"",""Hypoglycemia Adverse Events, MILD: patient reported symptoms consistent with hypoglycemia that may or may not have been documented by glucose monitoring at the time of symptoms. Symptoms did not greatly interrupt or interfere with the patients daily activities. Symptoms dissipated spontaneously or upon eating.";;;;;;;;;;;
;;;;;;;;;;;;
MODERATE: Patient reported symptoms consistent with hypoglycemia that may or may not have been documented by glucose monitoring at the time of symptoms. Symptoms interrupted or interfered with the patients daily activities and required immediate self treatment (e.g. carbohydrate ingestion).;;;;;;;;;;;;
;;;;;;;;;;;;
"SEVERE: Patient required the assistance of another individual (including aid in ingestion of oral carbohydrate): and/or required the administration of glucagon injection, intravenous glucose, or other medical intervention., 36 weeks""";;;;;;;;;;;;
